,time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,x_deg,y_deg,z_deg,qx,qy,qz,qr,glb_ax,glb_ay,glb_az,glb_res,ID
0,0.0,-3.378,8.519,3.456,-4.395,-0.874,-0.653,66.9,-4.7,-28.0,-2.688,11.446,11.316,29.972,69.095,77.412,0.225,0.518,0.58,0.588,-4.3040238973084906,6.665394523290919,5.7424798772203705,9.794293287419977,1
1,0.016667,-3.335,8.359,3.462,-4.515,-0.549,-1.574,66.6,-3.6,-28.3,-0.957,10.359,13.091,29.98,69.095,77.413,0.225,0.518,0.58,0.588,-4.1766789898776,6.581782060096639,5.675918210202209,9.642642272738316,2
2,0.033333,-3.484,8.447,3.529,-3.83,-0.427,-1.431,66.5,-3.5,-28.5,-2.759,10.046,12.143,29.981,69.098,77.414,0.225,0.518,0.58,0.588,-4.209122222699129,6.632498842491282,5.8512524487268625,9.795096017906102,3
3,0.05,-3.445,8.449,3.46,-3.44,-0.572,-0.671,66.5,-3.9,-28.2,-1.789,10.184,13.055,29.974,69.112,77.423,0.225,0.518,0.58,0.588,-4.255123924944753,6.60067098371816,5.792261125680014,9.758341354963967,4
4,0.066667,-3.311,8.581,3.485,-2.895,-0.15,-1.793,67.1,-4.1,-28.4,0.0,10.784,12.875,29.979,69.118,77.424,0.225,0.518,0.58,0.588,-4.325573745976041,6.750184320513563,5.697888241025411,9.835726053525486,5
5,0.083333,-3.439,8.456,3.577,-3.576,0.531,-2.343,67.7,-3.3,-27.8,-3.223,10.051,11.723,29.987,69.118,77.424,0.225,0.518,0.58,0.588,-4.180300966712307,6.688264349726935,5.823898163247353,9.80436566025564,6
6,0.1,-3.427,8.475,3.473,-3.321,0.843,-2.373,67.0,-5.2,-28.2,-2.25,9.231,11.593,29.985,69.119,77.403,0.225,0.518,0.58,0.588,-4.2603898889854825,6.635394194222897,5.7837967530942285,9.779145310301919,7
7,0.116667,-3.486,8.406,3.51,-3.457,1.258,-2.293,68.0,-3.8,-28.9,-2.017,10.252,10.421,29.956,69.14,77.375,0.224,0.518,0.58,0.588,-4.189556133597658,6.597965675676787,5.83503216323828,9.753621481275557,8
8,0.133333,-3.486,8.448,3.514,-2.613,0.281,-0.897,68.0,-4.7,-29.1,-2.87,9.466,11.488,29.935,69.163,77.392,0.224,0.518,0.58,0.588,-4.222593214240388,6.627523711431442,5.840781797111157,9.791276525560905,9
9,0.15,-3.34,8.391,3.549,-2.223,0.587,-0.855,66.8,-3.3,-28.8,-1.572,10.302,12.267,29.935,69.174,77.396,0.224,0.518,0.58,0.588,-4.145849502868608,6.666110849904595,5.703926720808074,9.703601496351753,10
10,0.166667,-3.378,8.479,3.566,-2.787,1.015,-1.098,66.5,-4.0,-28.7,-3.176,9.261,11.385,29.934,69.192,77.415,0.224,0.518,0.58,0.587,-4.204958920139272,6.721519863170847,5.758486972195119,9.799014287161745,11
11,0.183333,-3.397,8.413,3.469,-3.178,1.377,-2.023,67.0,-5.5,-28.6,-4.035,10.046,13.602,29.914,69.225,77.424,0.224,0.518,0.58,0.587,-4.224845328424007,6.607616444412716,5.730813718349298,9.713502921191717,12
