Frame,Sub_Frame,Fx1,Fy1,Fz1,Fx2,Fy2,Fz2,MFrame,X_LA,Y_LA,Z_LA,X_RA,Y_RA,Z_RA,X_LP,Y_LP,Z_LP,X_RP,Y_RP,Z_RP
1,0,18.3635,-14.4837,-163.449,13.9762,13.2586,-942.447,1,476.476868,1343.788696,664.31543,147.314072,1307.396118,661.489929,452.311768,1538.470581,700.235535,174.057327,1565.657715,707.033081
1,1,18.3458,-14.4058,-163.359,14.1848,13.8369,-941.642,2,476.546783,1343.760864,664.269104,147.374512,1307.430176,661.386108,452.299652,1538.45874,700.269775,174.050095,1565.602295,707.05603
1,2,18.2935,-14.2494,-163.665,13.7868,13.4446,-941.281,3,476.550537,1343.709351,664.242249,147.356476,1307.333374,661.391968,452.317474,1538.430298,700.307495,174.076355,1565.526245,707.041199
1,3,18.2121,-14.5212,-163.277,13.7352,13.1926,-940.936,4,476.570526,1343.646484,664.238647,147.375122,1307.310181,661.345398,452.273773,1538.356812,700.277832,174.05307,1565.444458,707.029846
1,4,17.9239,-14.584,-165.42,14.0787,13.3982,-941.633,5,476.636841,1343.597168,664.204224,147.393204,1307.296875,661.277466,452.286102,1538.338013,700.328369,174.071503,1565.373413,707.063049
1,5,17.8716,-14.6219,-163.478,13.7416,13.2165,-940.109,6,476.615936,1343.5271,664.229004,147.356033,1307.150269,661.346985,452.299896,1538.31897,700.370056,174.115723,1565.329224,707.141724
1,6,17.8363,-14.8592,-164.497,13.3365,13.1213,-941.453,7,476.68515,1343.48938,664.279724,147.430237,1307.007324,661.451904,452.266327,1538.221802,700.371216,174.05632,1565.231079,707.196655
1,7,17.9015,-14.5246,-165.396,13.3974,12.8909,-940.58,8,476.732422,1343.487305,664.297119,147.418518,1306.989502,661.433472,452.299622,1538.21167,700.417908,174.100754,1565.200439,707.27832
1,8,17.7997,-14.3722,-165.21,13.3452,12.9529,-940.788,9,476.725586,1343.423462,664.319153,147.398315,1306.775635,661.524231,452.308685,1538.171997,700.44873,174.112305,1565.141602,707.326782
1,9,18.1269,-14.6208,-163.808,13.5504,13.1691,-941.476,10,476.83493,1343.361572,664.293213,147.499527,1306.828003,661.430847,452.277283,1538.078613,700.42511,174.0952,1565.019043,707.292236
